Postal Code,Neighborhood,Latitude,Longitude,Population,Pop Density,Income,Nbr venues,Pizza,Fast Food
M6C,Humewood-Cedarvale,43.6937813,-79.4281914,24596,7711,64736,4,26,5
M6E,Caledonia-Fairbanks,43.6890256,-79.453512,38041,8133,51972.2,4,17,7
M6G,Christie,43.669542,-79.4225637,32086,9093,51103.6666666667,16,26,9
M6H,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,44950,9478,47671,14,23,7
M6J,"Little Portugal, Trinity",43.6479267,-79.4197497,32684,10942,69274,44,25,6
M6K,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,40957,13911,47067,23,16,5
M6L,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,20616,4536,44905.6666666667,4,2,5
M6M,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,42434,5368,41207,4,20,7
M6N,"Runnymede, The Junction North",43.6731853,-79.4872619,41243,5142,49388,4,8,12
M6P,"High Park, The Junction South",43.6616083,-79.4647633,40035,10280,83895,25,20,2
M6R,"Parkdale, Roncesvalles",43.6489597,-79.456325,19857,7756,44083,14,10,4
M6S,"Runnymede, Swansea",43.6515706,-79.4844499,34299,3971,75350.25,35,14,2
M8V,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,37975,4445,47946.3333333333,13,22,3
M8W,"Alderwood, Long Branch",43.6024137,-79.5434841,20674,2925,61402,8,7,1
M8X,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,10787,3486,57658,3,10,2
M8Y,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,21299,3631,67549,2,4,0
M8Z,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,17038,2000,75301,13,12,9
M9A,West Mall Etobicoke,43.6639089455784,-79.5293690472467,35594,3550,62463,,9,0
M9B,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,32400,2452,93391,2,1,12
M9C,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,38291,2648,64297,12,12,14
M9L,Humber Summit,43.7563033,-79.5659633,11950,1803,53272,2,6,1
M9M,"Humberlea, Emery",43.7247659,-79.5322424,22263,3159,54248.5,2,8,4
M9N,Weston,43.706876,-79.5181884,25074,4936,82016,2,18,9
M9P,Westmount,43.696319,-79.5322424,20874,3575,52816.5,9,5,3
M9R,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,33743,4969,57048,2,4,4
M9V,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,55959,3760,52254,8,22,7
M9W,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.7067483,-79.5940544,40684,1562,54019.25,5,19,15
